Date,c0,c1,c2,c3,c4,c5
2025-08-19,0.0,177.3960784313726,69.00000000000001,0.0,0,0
2025-08-26,0.0,177.3960784313726,69.00000000000001,0.0,0,0
2025-09-02,0.0,223.38823529411772,23.0078431372549,0.0,0,0
2025-09-09,0.0,223.38823529411772,23.0078431372549,0.0,0,0
2025-09-16,0.0,223.38823529411772,23.0078431372549,0.0,0,0
2025-09-23,0.0,111.66274509803924,134.73333333333338,0.0,0,0
2025-09-30,0.0,111.66274509803924,134.73333333333338,0.0,0,0
2025-10-07,0.0,111.66274509803924,134.73333333333338,0.0,0,0
2025-10-14,0.0,111.66274509803924,134.73333333333338,0.0,0,0
2025-10-21,0.0,111.66274509803924,134.73333333333338,0.0,0,0
2025-10-28,0.0,111.66274509803924,134.73333333333338,0.0,0,0
2025-11-04,0.0,111.66274509803924,134.73333333333338,0.0,0,0
2025-11-11,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2025-11-18,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2025-11-25,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2025-12-02,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2025-12-09,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2025-12-16,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2025-12-23,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2025-12-30,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2026-01-06,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2026-01-13,59.29019607843138,187.10588235294125,0.0,0.0,0,0
2026-01-20,0.0,246.39607843137267,0.0,0.0,0,0
2026-01-27,0.0,246.39607843137267,0.0,0.0,0,0
2026-02-03,0.0,246.39607843137267,0.0,0.0,0,0
2026-02-10,0.0,246.39607843137267,0.0,0.0,0,0
2026-02-17,0.0,246.39607843137267,0.0,0.0,0,0
2026-02-24,0.0,246.39607843137267,0.0,0.0,0,0
2026-03-03,0.0,246.39607843137267,0.0,0.0,0,0
2026-03-10,0.0,246.39607843137267,0.0,0.0,0,0
2026-03-17,0.0,246.39607843137267,0.0,0.0,0,0
2026-03-24,0.0,246.39607843137267,0.0,0.0,0,0
2026-03-31,0.0,138.1764705882353,108.2196078431373,0.0,0,0
2026-04-07,0.0,138.1764705882353,108.2196078431373,0.0,0,0
2026-04-14,0.0,0.0,246.39607843137267,0.0,0,0
2026-04-21,0.0,0.0,246.39607843137267,0.0,0,0
2026-04-28,0.0,0.0,178.5019607843138,67.89411764705883,0,0
2026-05-05,0.0,0.0,178.5019607843138,67.89411764705883,0,0
2026-05-12,0.0,0.0,0.09803921568627451,246.29803921568637,0,0
2026-05-19,0.0,0.0,0.0,246.39607843137267,0,0
2026-05-26,0.0,0.0,0.0,246.39607843137267,0,0
2026-06-02,0.0,0.0,0.0,246.39607843137267,0,0
2026-06-09,0.0,0.0,0.0,246.39607843137267,0,0
2026-06-16,0.0,0.0,0.0,246.39607843137267,0,0
2026-06-23,0.0,0.0,0.0,246.39607843137267,0,0
2026-06-30,0.0,0.0,0.0,246.39607843137267,0,0
2026-07-07,0.0,0.0,0.0,246.39607843137267,0,0
2026-07-14,0.0,0.0,0.0,246.39607843137267,0,0
2026-07-21,0.0,0.0,0.0,246.39607843137267,0,0
2026-07-28,0.0,0.0,0.0,246.39607843137267,0,0
2026-08-04,0.0,0.0,0.0,246.39607843137267,0,0
2026-08-11,0.0,0.0,0.0,246.39607843137267,0,0
2026-08-18,0.0,0.0,0.0,246.39607843137267,0,0
2026-08-25,0.0,0.0,0.0,246.39607843137267,0,0
2026-09-01,0.0,0.0,0.0,246.39607843137267,0,0
